6,,麻油系列,Sesame Oils,
6-1,001A,富貴純麻油,100% Pure Sesame Oil,5 gl. tin_Box of 12 x 10 oz. bottles_Box of 24 x 6 oz. bottles
6-2,001B,中國香麻油,Chinese Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-3,001C,吉祥香麻油,Jaisun Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-4,001D,美味香麻油,Meiwei Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-5,001E1,一品香麻油,Sesame Oil,Box of 4 x 1 gl. bottles
6-6,001F,黑麻油,100% Black Sesame Oil,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 6 oz. bottles
7,,辣油系列,Spicy Oils,
7-1,007A,香辣油,Chili Oil,Box of 4 x 1 gl. bottles_Box of 12 x 10 oz. bottles_Box of 24 x 8 oz. bottles
7-2,007H6,辣麻油,Hot Sesame Oil,Box of 12 x 6 oz. bottles
8,,岡山系列,Gong San (Taiwan Style),
8-1,004A,岡山辣椒醬,Gong San Chili Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
8-2,005A,岡山辣豆瓣醬,Gong San Hot Bean Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
8-3,006A,岡山豆瓣醬,Gong San Bean Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9,,川味系列,Szechuan Style,
9-1,005E,辣蠶豆瓣醬,Hot Broad Bean Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9-2,006E33,蠶豆瓣醬,Fermented Broad Bean Paste,Box of 33 kg. bag
9-3,006D,甜麵醬,Sweet Flour Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9-4,003A,純芝麻醬,Sesame Paste,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9-5,003B,純黑芝麻醬,Black Sesame Paste,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
10,,湖南系列,Hunan Style,
10-1,004H1,湖南辣椒醬,Hunan Chili Sauce,Box of 4 x 1 gl. bottles
10-2,006C,豆豉,Preserved Bean,Box of 10 x 5 lb. bags
10-3,006C,陽江薑豉,Preserved Bean,Box of 10 x 5 lb. bags
11,,越潮系列,Uncle Chen® (Vietnamese Style),
11-1,004D,Uncle Chen越南蒜蓉辣椒醬,Uncle Chen® Chili Garlic Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
11-2,004DH,Uncle Chen特辣越南蒜蓉辣椒醬,Uncle Chen® Extra Hot Chili Garlic Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles
11-3,004E,Uncle Chen新鮮辣椒醬,Uncle Chen® Fresh Ground Chili Paste,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
11-4,004EH,Uncle Chen特辣新鮮辣椒醬,Uncle Chen® Extra Hot Fresh Ground Chili Paste,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles
11-5,004B,Uncle Chen是拉差醬,Uncle Chen® Sriracha Chili Sauce,Pail of 5 gl._Box of 12 x 28 oz. bottles_Box of 12 x 17 oz. bottles
12,,辣椒系列,Chilies,
12-1,008B,天津小辣椒,Chili Pods,Box of 6 x 5 lb. bags
12-2,008R,辣椒段,Chili Ring,Box of 6 x 5 lb. bags
12-3,009B,辣椒碎,Crushed Chili,Box of 6 x 5 lb. bags
12-4,009BX,特辣辣椒碎,Extra Hot Crushed Chili,Bag of 55 lb.
12-5,010,輕辣椒粉,Paprika,Box of 10 x 5 lb. bags_Box of 10 lb bag_Box of 4 x 5 lb. jar
12-6,011,重辣椒粉,Cayenne,Box of 10 x 5 lb. bags_Box of 10 lb bag_Box of 4 x 5 lb. jar
13,,大蒜系列,Garlics,
13-1,012,大蒜片,Garlic Flake,Box of 10 x 5 lb. bags
13-2,013,大蒜碎,Chopped Garlic,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
13-3,014,細蒜碎,Minced Garlic,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
13-4,015,大蒜粉,Granule Garlic,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
13-5,016,細蒜粉,Garlic Powder,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
14,,洋蔥系列,Onions,
14-1,049,洋蔥碎,Chopped Onion,Box of 30 lb. bag_Box of 6 x 5 lb. bags_Box of 4 x 4 lb. jar
14-2,049D,洋蔥粉,Onion Powder,Box of 50 lb. bag_Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
14-3,049FO,油蔥酥,Fried Onion,Box of 50 x 1 lb. bags
15,,香料系列,Herbs,
15-1,019,咖哩粉,Curry Powder,Box of 10 x 5 lb. bags_Box of 10 lb bag_Box of 4 x 5 lb. jar
15-2,021,生薑粉,Ginger Powder,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-3,022,米酒,Cooking Wine,Box of 4 x 3 liter bottles
15-4,027,香葉,Bay Leaves,Box of 10 lb._Bag of 5 lb.
15-5,028,肉桂條,Cinnimon Stick,Box of 50 x 1 lb. bags
15-6,028D,肉桂粉,Ground Cinnamon,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-7,029,味精,MSG,Paper Bag of 50 lb.
15-8,029B,素味素,MSG Substitute,Pail of 40 lb.
15-9,040,九層塔,Basil,Box of 10 x 5 lb. bags
15-10,041A,特级红花椒,Red Prickly Ash,Box of 10 x 5 lb. bags
15-11,041B,花椒,Pepper Corn,Box of 50 x 1 lb. bags
15-12,041B,花椒粉,Ground Pepper Corn,Box of 4 x 5 lb. jar
15-13,041OIL,花椒油,Prickly Ash Oil,Box of 6 x 1.8 liter bottles
15-14,041VINEOIL,藤椒油,Vine Oil,Box of 4 x 2.5 liter tins
15-15,041G,青花椒,Green Pepper Corn,Box of 10 x 5 lb. bags
15-16,042,八角,Star Anise,Box of 50 x 1 lb. bags
15-17,042D,八角粉,Ground Star Anise,Box of 50 x 1 lb. bags
15-18,046,丁香,Cloves,Box of 10 x 5 lb. bags_Box of 50 x 1 lb. bags
15-19,046D,丁香粉,Ground Cloves,Box of 4 x 5 lb. jar
15-20,047,小茴,Fennel Seed,Box of 10 x 5 lb. bags
15-21,047D,小茴粉,Ground Fennel Seed,Box of 4 x 5 lb. jar
15-22,048,黃薑粉,Ground Turmeric,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-23,051,五香粉,Five-Spices Powder,Box of 50 x 1 lb. bags
15-24,050,鬆肉粉,Meat Tenderizer,Box of 4 x 10 lb. jar
15-25,052,陳皮,Orange Peel,Box of 50 x 1 lb. bags
15-26,052D,陳皮粉,Ground Orange Peel,Box of 50 x 1 lb. bags
15-27,053,羅漢果,Luo Han Guo,Box of 20 x 1 ea
15-28,054,沙薑片,Spicy Ginger Flake,Box of 50 x 1 lb. bags
15-29,054D,沙薑粉,Ground Spicy Ginger,Box of 50 x 1 lb. bags
15-30,055,草果,Tsaoko Cardamom,Box of 50 x 1 lb. bags
15-31,056,甘草,Licorice,Box of 50 x 1 lb. bags
15-32,056D,甘草粉,Ground Licorice,Box of 50 x 1 lb. bags
15-33,057,香菜仔,Coriander,Box of 10 x 5 lb. bags
15-34,057D,香菜粉,Ground Coriander,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-35,058,宮廷滷料,Mixed Seasoning,Box of 50 x 1 lb. bags
15-36,059,孜然,Cumin,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-37,059D,孜然粉,Ground Cumin,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-38,085,小荳蔻,Cardamom,Box of 50 x 1 lb. bags
15-39,086D,芹菜粉,Ground Celery,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-40,087,南薑片,Galanga,Box of 50 x 1 lb. bags
15-41,088,當歸,Chinese Angelica Root,Box of 50 x 1 lb. bags
15-42,089,枸杞,Goji Berry,Box of 50 x 1 lb. bags
15-43,090,黨參,Codonopsis Root,Box of 50 x 1 lb. bags
15-44,091,肉荳蔻,Nutmeg,Box of 50 x 1 lb. bags
15-45,091D,荳蔻粉,Ground Nutmeg,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-46,092,紅棗,Dried Red Dates,Box of 44 lb. bags
15-47,093,玉竹,Rhizoma Polygonati Odorati,Box of 50 x 1 lb. bags
15-48,094,淮山,Chinese Yam Rhizome,Box of 50 x 1 lb. bags
15-49,097,檸檬香葉,"Lemon Grass (1/8"")",Paper bag of 55 lb
15-50,098,桂圓,Dried Longan,Box of 22 lb. bags
15-51,099,圓枝腐竹,Dried Bean Stick,Box of 50 x 5 oz. bags
15-52,101,良薑,Rhizoma Galangae,Box of 50 x 1 lb. bags
15-53,105,蓽撥,Long Pepper,Box of 50 x 1 lb. bags
15-54,106,仙茅,Rhizoma Curculiginis,Box of 50 x 1 lb. bags
15-55,107,白芷,Radix Angelicae,Box of 50 x 1 lb. bags
15-56,108,千里香,Murraya Exotica,Box of 50 x 1 lb. bags
15-57,113,山楂,Preserved Haw Slice,Box of 50 x 1 lb. bags
15-58,114,砂仁,Fructus Amomi,Box of 50 x 1 lb. bags
15-59,115,小龍蝦粉,Steak Seasoning,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
15-60,118,川芎,Hemlock Parsley,Box of 50 x 1.33 lb. bags
15-61,122,烏梅,Smoked Plum,Box of 50 x 1 lb. bags
16,,胡椒系列,Peppers,
16-1,017W,白胡椒仔,Whole White Pepper,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
16-2,017,白胡椒粉,Ground White Pepper,Box of 10 x 5 lb. bags_Box of 10 lb. bag_Box of 4 x 5 lb. jar
16-3,018W,黑胡椒仔,Whole Blacke Pepper,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
16-4,018,黑胡椒粉,Ground Black Pepper,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
16-5,017SP,胡椒鹽,Salted Pepper Shake,Box of 10 x 5 lb. bags_Box of 4 x 5 lb. jar
17,,芥茉系列,Mustards,
17-1,020,芥茉粉,Mustard Flour,Box of 10 x 5 lb. bags_Box of 10 lb. bag_Box of 4 x 5 lb. jar
17-2,020W,日本芥茉粉,Japanese Wasabi Powder,Box of 10 x 2.2 lb. bags
18,,果仁類,Nuts Beans and Seeds,
18-1,030A,腰果,Cashew Nut,Box of 50 lb. bag_Box of 10 x 5 lb. bags_Box of 2 x 25 lb. tins
18-2,031A,杏仁,Almond,Box of 25 lb. bag_Box of 5 x 5 lb. bags
18-3,032A,花生（美國）,Peanut (American),Box of 30 lb.
18-4,032C,花生（中國）,Peanut (Chinese),Box of 10 x 5 lb. bags
18-5,032B,有皮花生,Peanut (with Skin),Box of 30 lb. bag
18-6,033B,全核桃,Walnut (Halves),Box of 22 lb. bag_Box of 4 x 5 lb. bags
18-7,034,松子,Pine Nut,Box of 27.5 lb. bag_Box of 10 x 5 lb. bags
18-8,035,胡桃,Pecan,Box of 30 lb.
18-9,036,紅豆,Red Bean,Bag of 50 lb.
18-10,002A,白芝麻,White Sesame Seed,Box of 50 lb. bag_Box of 6 x 5 lb. bags
18-11,002B,黑芝麻,Black Sesame Seed,Box of 50 lb. bag_Box of 6 x 5 lb. bags
19,,香菇系列,Mushrooms,
19-1,O44AM,香菇絲,Mushroom (Stripe),Box of 5 x 5 lb. bags
19-2,044CL,大茶花菇,Flower Mushroom (4-5cm),Box of 5 x 5 lb. bags
19-3,044CM,中茶花菇,Flower Mushroom (3-4cm),Box of 5 x 5 lb. bags
19-4,O44AL,光面菇（大）,Mushroom (Stripe),Box of 5 x 5 lb. bags
19-5,O44AM,光面菇（中）,Mushroom (Stripe),Box of 5 x 5 lb. bags
19-6,045,金針菜,Dried Lily Flowers,Box of 100 x 6 oz. bags
19-7,061,竹笙,Bamboo Fungus,Box of 50 x 5 oz. bags
20,,木耳系列,Dried Fungi,
20-1,043A,清水黑木耳,Black Fungus,Box of 6 x 5 lb. bags
20-2,043B,清水木耳絲,Black Fungus (Stripe),Box of 20 x 12 oz. bags
20-3,043C,雲耳,Cloud Black Fungus,Box of 6 x 5 lb. bags
20-4,043D,雪耳,White Fungus,Box of 6 x 5 lb. bags
21,,茶葉系列,Teas,
21-1,026A,烏龍茶,Oolong Tea,Box of 6 x 5 lb. bags
21-2,026AL,烏龍茶包,Oolong Tea Bag,Box of 2 grams of 100 bags x 50 bags
21-3,026B,茉莉花茶,Jasmine Tea,Box of 6 x 5 lb. bags
21-4,026BL,茉莉花茶包,Jasmine Tea Bag,Box of 2 grams of 100 bags x 50 bags
21-5,026C,綠茶,Green Tea,Box of 6 x 5 lb. bags
21-6,026CL,綠茶茶包,Green Tea Bag,Box of 2 grams of 100 bags x 50 bags
21-7,026D,紅茶茶包,Black Tea Bag,Box of 2 grams of 100 bags x 50 bags
22,,海產系列,Seafoods,
22-1,060A,海參,Sea Cucumber,Box of 50 lb. bag_Box of 10 x 5 lb. bags
22-2,062A,海蜇皮,Jelly Fish,Box of 55 lb. bag
22-3,062B,海蜇頭,Jelly Fish (Head),Box of 30 lb. bag
22-4,062C,海蜇絲,Jslly Fish (Stripe),Box of 30 lb. bag
22-5,068,魚肚,Dried Fish Bladder,Box of 18 x 1 lb. bag
22-6,082A,海帶絲,Dried Seaweed (Stripe),Box of 100 x 4 oz. bag
22-7,082B,海帶片,Dried Seaweed,Box of 100 x 7 oz. bag
23,,另類系列,Miscellaneous,
23-1,070A,筷子（紅封）,Chopsticks,Box of 100 pieces x 10 bags
23-2,071,鋼刷,Stainless Scrubber,Box of 6 ea x 12 cs
23-3,100,零污染清潔劑(ND3),Zero Pollution Clerner (ND3),Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles
